Bayern Munich,15,13,1,1
Manchester City,15,12,2,1
FC Barcelona,15,12,1,2
Paris Saint-Germain,15,11,2,2
Real Madrid,14,11,1,2
Inter Milan,15,10,2,3
Liverpool FC,14,10,2,2
Arsenal FC,14,8,3,3
AS Roma,13,7,4,2
Sevilla FC,14,7,4,3
AC Milan,12,7,3,2
Borussia Dortmund,13,7,3,3
Juventus FC,12,7,3,2
Atletico Madrid,12,6,4,2
Olympique de Marseille,13,6,4,3
FC Porto,11,6,3,2
Manchester United,11,6,3,2
SSC Napoli,12,6,3,3
SL Benfica,10,6,2,2
Tottenham Hotspur,11,6,2,3
Chelsea FC,10,5,3,2
Ajax Amsterdam,9,5,2,2
RB Leipzig,10,5,2,3
Olympique Lyonnais,9,4,3,2
Valencia CF,9,4,3,2
